nohup: ignoring input
/home/superbench/v-yiyunchen/ytorch-venv/lib/python3.6/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Epoch 1, Time: 80.75s, Train Loss: 2.9248, Train Accuracy: 31.90%, Test Loss: 2.6737, Test Accuracy: 36.54%
Epoch 2, Time: 161.46s, Train Loss: 2.1173, Train Accuracy: 47.51%, Test Loss: 2.2681, Test Accuracy: 45.02%
Epoch 3, Time: 242.12s, Train Loss: 1.7963, Train Accuracy: 54.29%, Test Loss: 2.1042, Test Accuracy: 48.26%
Epoch 4, Time: 322.82s, Train Loss: 1.5751, Train Accuracy: 59.20%, Test Loss: 2.0920, Test Accuracy: 50.11%
Epoch 5, Time: 403.59s, Train Loss: 1.3930, Train Accuracy: 63.15%, Test Loss: 2.1787, Test Accuracy: 48.30%
Epoch 6, Time: 484.33s, Train Loss: 1.2282, Train Accuracy: 66.92%, Test Loss: 1.9898, Test Accuracy: 52.90%
Epoch 7, Time: 565.10s, Train Loss: 1.0794, Train Accuracy: 70.59%, Test Loss: 2.0824, Test Accuracy: 51.32%
Epoch 8, Time: 645.87s, Train Loss: 0.9579, Train Accuracy: 73.41%, Test Loss: 2.0740, Test Accuracy: 52.14%
Epoch 9, Time: 726.61s, Train Loss: 0.8342, Train Accuracy: 76.33%, Test Loss: 2.1352, Test Accuracy: 51.87%
Epoch 10, Time: 807.30s, Train Loss: 0.7195, Train Accuracy: 79.31%, Test Loss: 2.2414, Test Accuracy: 52.11%
Epoch 11, Time: 887.97s, Train Loss: 0.6327, Train Accuracy: 81.46%, Test Loss: 2.2642, Test Accuracy: 52.45%
Epoch 12, Time: 968.59s, Train Loss: 0.5521, Train Accuracy: 83.55%, Test Loss: 2.3192, Test Accuracy: 51.98%
Epoch 13, Time: 1049.22s, Train Loss: 0.4850, Train Accuracy: 85.41%, Test Loss: 2.3328, Test Accuracy: 52.47%
Epoch 14, Time: 1129.83s, Train Loss: 0.4149, Train Accuracy: 87.43%, Test Loss: 2.3670, Test Accuracy: 53.48%
Epoch 15, Time: 1210.51s, Train Loss: 0.3688, Train Accuracy: 88.67%, Test Loss: 2.5264, Test Accuracy: 52.41%
Epoch 16, Time: 1291.11s, Train Loss: 0.3242, Train Accuracy: 90.12%, Test Loss: 2.5654, Test Accuracy: 52.31%
Epoch 17, Time: 1371.70s, Train Loss: 0.3010, Train Accuracy: 90.65%, Test Loss: 2.6047, Test Accuracy: 52.84%
Epoch 18, Time: 1452.36s, Train Loss: 0.2723, Train Accuracy: 91.52%, Test Loss: 2.6746, Test Accuracy: 52.84%
Epoch 19, Time: 1533.03s, Train Loss: 0.2510, Train Accuracy: 92.27%, Test Loss: 2.6335, Test Accuracy: 53.08%
Epoch 20, Time: 1613.74s, Train Loss: 0.2141, Train Accuracy: 93.20%, Test Loss: 2.6386, Test Accuracy: 53.45%
Epoch 21, Time: 1694.48s, Train Loss: 0.2094, Train Accuracy: 93.36%, Test Loss: 2.7422, Test Accuracy: 53.21%
Epoch 22, Time: 1775.22s, Train Loss: 0.1879, Train Accuracy: 94.12%, Test Loss: 2.7611, Test Accuracy: 53.07%
Epoch 23, Time: 1856.05s, Train Loss: 0.1895, Train Accuracy: 94.08%, Test Loss: 2.7745, Test Accuracy: 53.27%
Epoch 24, Time: 1936.83s, Train Loss: 0.1760, Train Accuracy: 94.46%, Test Loss: 2.7355, Test Accuracy: 53.43%
Epoch 25, Time: 2017.55s, Train Loss: 0.1675, Train Accuracy: 94.64%, Test Loss: 2.8588, Test Accuracy: 52.30%
Epoch 26, Time: 2098.18s, Train Loss: 0.1683, Train Accuracy: 94.74%, Test Loss: 2.9674, Test Accuracy: 52.57%
Epoch 27, Time: 2179.07s, Train Loss: 0.1519, Train Accuracy: 95.20%, Test Loss: 2.8052, Test Accuracy: 53.48%
Epoch 28, Time: 2259.76s, Train Loss: 0.1507, Train Accuracy: 95.27%, Test Loss: 2.8943, Test Accuracy: 53.09%
Epoch 29, Time: 2340.41s, Train Loss: 0.1419, Train Accuracy: 95.54%, Test Loss: 2.8035, Test Accuracy: 54.22%
Epoch 30, Time: 2421.11s, Train Loss: 0.1388, Train Accuracy: 95.63%, Test Loss: 2.8465, Test Accuracy: 53.77%
Total training time: 2421.11s
